"ar_code","isscaap","english_name","scientific_name","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"21","31","Summer flounder","Paralichthys dentatus","5124","5287","6954","6965","7362","7160","8197","7598","8905","8936","6499","7941","6163","4963","4440","4487","4609","3945","2961","2076","2636","3304","2893","4522","6383","7634","10784","8923","8481","14234","10704","8123","9406","11757","14149","12804","11080","11626","13500","7860","4045","6312","7622","5771","4961","6990","5741","3895","4981","4758","4994","4858","6448","6490","8234","7826","6327","4434","4085","4886","5955","7205","5670","5400","4905","4810","3553","2605","2805","4110"
"21","34","Atlantic redfishes nei","Sebastes spp","110654","139573","109049","110808","126406","130509","130245","168651","331725","389008","291765","236430","198050","203114","189831","211772","210010","216711","177965","215934","222304","265169","282837","307372","227708","211251","174973","157406","130079","143112","115844","129143","125409","115289","124395","127751","165208","208155","152552","164726","184292","165714","161524","135731","67833","31504","26776","23914","33723","34308","47156","49626","56586","67017","31538","37882","34138","23055","21718","27588","31243","33505","35743","30914","31849","34362","35362","40041","40277","43881.443"
"21","35","Atlantic herring","Clupea harengus","219647","152087","203183","152465","157856","139138","156087","172202","186898","163456","181197","182103","344793","285440","306108","265897","429774","594756","946840","970560","849334","746883","547120","485361","433049","448338","322520","281759","296637","252949","260400","224556","180372","165720","166065","219388","223305","287195","321002","283865","314920","279292","276117","254330","255445","271425","281922","282197","272925","281589","275295","295745","252684","296396","268363","260052","280934","241639","219344","257038","215612","214630","200972","219585","206294","193732","181101","150280","142445","84727"
"21","35","Atlantic menhaden","Brevoortia tyrannus","250913","263545","276135","480670","512683","525710","554640","513107","391071","508201","436511","471622","514447","286772","215766","231777","136045","122399","163459","102265","223100","221200","331606","330500","259145","199575","297873","289750","263436","284599","331625","262566","311001","336379","324978","311674","222485","297178","326524","325894","394463","346310","313109","327241","249047","363289","305664","290948","275288","208084","208752","260609","210893","203088","214062","194150","183742","217198","189100","183586","229572","227072","224460","167544","174032","200653","177997","179541","188168","195802"
"21","37","Capelin","Mallotus villosus","24500","19900","15800","15200","14800","14100","14100","12300","10600","6600","7200","5200","4657","5571","8905","6633","6358","7534","3600","3775","6524","5819","73435","272460","291712","367250","361362","229497","94015","33171","27294","39131","41652","40724","62040","53901","84414","65782","112762","124077","208944","50925","31187","48761","2409","362","32711","21987","38270","23531","21374","19751","13646","22455","33903","36730","42218","37641","39316","35544","26617","32814","31844","30547","29165","37275","37505","22278","28607","25727"
"21","37","Atlantic mackerel","Scomber scombrus","23621","19941","20550","14876","14422","14556","12030","9997","9375","6135","7278","7777","8407","10383","13747","16208","22371","34065","80007","131026","229429","373557","410822","420410","339617","287198","241951","77483","27882","32708","25384","27371","26237","29491","37426","55300","64605","74209","80284","72992","66740","62034","40858","31857","29618","26806","36953","36390","31873","28216","23248","36817","64574","75754","108685","97490","110603","78941","51409","64894","48668","12064","11823","14626","12991","10410","13639","16322","19507","9263"
"21","34","American angler","Lophius americanus","37","80","38","129","24","24","23","15","19","20","19","15","21","33","32","39","3132","183","4801","7378","3558","17302","7179","17460","12917","21517","4633","7233","2493","2919","3403","2421","1307","3001","3528","4859","4621","11739","9583","13438","13009","14623","18066","20368","21480","28304","28135","29886","27674","26243","21991","25130","26643","30741","23531","21425","16513","12889","11726","9289","7872","9226","10171","8836","8752","8875","9272","11057","10423","10462.995"
"21","43","American lobster","Homarus americanus","33122","34469","33054","33753","33665","35133","35530","33878","31850","33893","36838","34300","34479","33833","32915","32119","30400","28029","31755","33513","33100","32600","29700","29200","27203","31185","30308","32215","34790","38447","36851","38703","40698","47707","48637","53574","58861","60095","62576","67964","75534","77222","67134","66552","71663","72243","71713","77531","77074","83595","84706","83707","82801","81291","88830","83673","98615","85643","98787","104053","120614","124271","143137","142954","159915","157559","162903","157805","163705","161011"
"21","45","Pandalus shrimps nei","Pandalus spp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1200","1000","1100","2000","1800","1400","2200","3613","4703","5031","6764","8434","8652","8690","9015","9288","10081","8791","8896","9557","12351","23706","21257","19272","21439","15075","17973","19676","24369","24976","28601","29042","30603","35180","31234","33342","1410","2381","2320","2766","4673","1528","1400","2264","3914","5526","6991","6271","7468","5984","5548","83053","58462"
"21","55","American sea scallop","Placopecten magellanicus","76203","71130","70889","89939","67323","84400","77020","80868","95105","115521","125501","144458","143588","136037","126608","122286","129059","88701","100548","79947","68100","60000","67400","62300","77000","103674","131547","211616","232287","205848","177670","188029","140879","125614","102837","104917","127611","187770","189351","205327","217153","209236","191392","143356","145460","124569","114015","105421","102216","137965","205377","264570","292990","303992","334597","271470","288841","285903","269202","280417","275388","281371","267839","219108","197251","195803","206452","249781","274022","295428"
"21","55","Iceland scallop","Chlamys islandica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1595","287","973","384","121","1","0","0","810","8840","5332","8829","15189","13776","14270","8848","3160","4397","2956","3455","3480","3388","4690","3651","1723","797","776","905","1023","859","1022","986","960","1347","1197","707","649"
"21","56","Ocean quahog","Arctica islandica","800","744","1760","1000","1376","2008","1700","1908","1352","744","880","548","440","576","608","536","328","160","816","2320","6300","7400","5100","5300","3042","4705","20325","68891","86122","132071","127974","135790","131365","132681","145761","195793","169732","187572","171707","191746","177322","186390","192496","197559","177874","168018","145558","150719","133459","128395","106336","82905","81093","133855","69806","44508","67530","79230","116180","118478","110936","113451","71502","120741","51867","51478","1374","54394","1104","42298"
"21","56","Northern quahog(=Hard clam)","Mercenaria mercenaria","67913","67057","56182","54718","43671","46397","48034","47884","45698","42822","47020","46269","42064","46765","48034","48229","50259","52212","50795","52242","51100","54700","49000","43100","44487","45149","45415","42831","36357","33015","35381","56177","32626","45228","32741","31056","20678","21754","28911","18590","18259","27169","26244","24153","11732","16988","22693","19559","10976","4902","14510","11917","13439","3984","3189","1307","8968","5233","6375","6109","11101","9339","10586","11014","12743","14498","11897","7103","6403","2579"
"21","56","Atlantic surf clam","Spisula solidissima","24935","33775","40733","32923","37460","38716","51454","57822","46583","74827","80734","88573","99365","124271","122844","141986","145287","145103","130597","159658","152900","118800","135000","169900","180287","173509","102152","104792","79313","69954","90831","111255","121980","137918","175749","182833","195162","149183","156640","164237","174718","160608","183398","180239","168521","145878","143638","132060","122595","134095","156865","147336","159003","160677","129374","133781","120228","135805","122649","112851","99399","102192","106866","105745","98843","101290","88609","94748","82784","81031"
"21","56","Sand gaper","Mya arenaria","27110","23159","18671","18768","12375","12140","13819","12313","13273","14413","16375","14526","18026","18254","20712","21503","22987","19378","20438","26749","31700","31800","21800","20000","21929","20755","23524","24364","24308","21098","21448","18591","18449","19955","20577","21920","18499","21834","18253","17458","15752","12005","10944","11298","8460","9144","6211","7427","8895","8658","8956","9541","9353","9352","9720","10355","14634","9230","8359","8727","8782","9278","9135","8697","7341","8078","8028","6690","5481","5509"
"21","55","Atlantic bay scallop","Argopecten irradians","5241","5059","5125","9567","4161","4845","3354","7070","6353","3650","7119","5850","10382","3617","5719","5389","5125","2629","2653","5315","5800","8300","7000","3500","4523","5495","4853","5861","4055","5794","2226","1643","5972","7983","5014","3273","2089","1858","2003","982","2079","1752","896","1695","0","778","108","231","390","132","92","24","81","65","29","360","345","783","501","964","606","698","775","830","698","622","516","1019","1874","466"
"27","32","Atlantic cod","Gadus morhua","1357100","1558400","1645500","1551300","1740200","2017800","2094300","1591700","1673200","1522900","1537400","1581100","1671300","1593100","1274200","1307800","1401200","1516900","2075600","2147600","1943400","1773800","1688300","1730200","2019978","1795298","1857570","1802654","1645581","1467585","1612061","1728077","1549171","1378193","1362951","1315931","1369070","1468963","1330327","1133719","927155","913179","931992","1027500","1198288","1239605","1306894","1321431","1152968","1025406","877150","884785","847876","807885","859965","808230","790367","732348","708464.462","824650.564","909159.798","1007129","1076302","1313922","1321986.03","1241692","1255181","1239619","1163655.201","1075612.756"
"27","32","Haddock","Melanogrammus aeglefinus","238900","245200","207700","223600","262700","319800","402700","363300","332300","291200","356100","372200","409200","383300","443200","500000","525800","368400","390700","889200","866200","459200","523900","600200","558915","501479","489254","364399","279492","290212","296235","334795","355971","317250","257438","329432","363987","363079","303553","239237","178433","166108","183063","237071","304901","309429","351008","322746","269036","235725","196111","208290","247470","258706","300172","283553","298724","316287","305010.50800000003","336362.463","364173.99199999997","410461","420014","298772","267747.69","284877","320589","314455","292549","287560.173"
