"ar_code","isscaap","english_name","scientific_name","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"37","33","Porgies, seabreams nei","Sparidae","600","1000","1900","0","300","300","400","300","200","200","400","500","600","500","400","400","800","1700","2400","1600","1557","1639","2444","2447","2503","4052","1904","5192","2760","4127","4080","3887","4014","5837","5656","6208","6480","9604","7272","15141","13534","12909","15563","15531","16668","10577","10625","8535","7774","9518","8537","8501","7938","7423","6684","6096","6077","3006","3417","3428","3889","3554","3811","4412","3684","3832","4106","4062","3784","3652.8199999999997"
"37","33","Surmullets(=Red mullets) nei","Mullus spp","11800","10100","10600","11600","9500","12500","12100","12800","16100","14700","13800","14400","13300","14700","14100","16200","18000","17100","15700","16100","15855","17400","17056","17414","20108","18107","20711","19870","18354","18762","19013","20562","17571","19573","24832","22765","18821","19286","18452","18014","18891","17700","19636","20083","20164","18859","21706","17360","16986","20814","20535","18234","16276","14969","15539","7527","9417","9733","8463","12636","12599","10465","9392","8529","6779","6787","7380.23","8174.604","8220.604","7479.829"
"37","33","Dusky grouper","Epinephelus marginatus","0","0","100","100","100","100","100","0","100","200","400","300","100","100","600","600","500","700","700","600","614","665","818","548","641","513","569","486","1021","443","521","859","750","1738","2925","4038","4237","4474","4687","5485","5828","5573","5792","5677","5674","5266","4383","4211","3833","3303","3290","3149","2868","2537","2221","1859","1514","1207","1724","1268","1189","757","836","821","670","588","745","846","834","816.425"
"37","24","Black and Caspian Sea sprat","Clupeonella cultriventris","84400","98400","92200","100300","77900","41500","12200","2500","2800","2300","3600","5600","8700","24100","49500","75800","90900","85400","58100","8000","128628","76642","95800","90322","47477","95587","31668","29781","80763","73925","77018","47418","122567","120363","88183","133152","100826","92149","32057","38203","3075","24557","4737","1809","4939","7805","1448","1522","3496","10862","12006","27777","27239","17743","14538","19373","16323","16975","18308","16870","15449","20786","9290","10467","9826","18012","21820","18785","12620.04","8451.679"
"37","35","European pilchard(=Sardine)","Sardina pilchardus","102200","103700","115600","109500","105200","80300","99300","111900","96700","94100","96400","120300","100100","110700","117900","108400","126800","112200","116300","125600","144721","150936","160028","150023","168909","176089","175292","188449","191656","189376","187811","234122","229583","241008","223195","246138","251871","287329","281528","272316","243598","241052","249889","252563","260121","247581","224546","209851","204094","212244","215869","199942","189128","179176","181735","203557","231734","212966","155732","198073","156105","184103","174962","193783","200696","186485","185774.28399999999","181164.672","190248","155667.72100000002"
"37","35","European sprat","Sprattus sprattus","1200","1700","700","700","4400","800","4300","3200","2100","2600","1200","400","1800","1000","4600","5400","2400","2000","4700","2700","4485","5798","6162","6483","6413","7523","10961","17085","35067","73733","85401","97193","76526","41467","43041","51793","65668","66602","66942","105368","53920","18565","20348","14878","18522","21818","28260","28243","38333","39396","42007","64125","72232","69087","55087","59468","42801","40345","73222","91841","92222","120993","35040","29958","56749","109200","79087","54314","38881","62274.406"
"37","35","European anchovy","Engraulis encrasicolus","132500","165300","153800","127600","123700","72400","90300","89000","92000","137700","105400","136300","151300","204000","210000","206700","240700","264000","263900","195600","294243","298264","297171","342052","444778","348630","455466","341932","380132","439073","612854","594646","629296","639185","718306","512380","593005","465050","618733","237728","169009","161931","262286","310495","392777","499898","377078","348084","321229","442346","391757","438380","481326","400630","463778","260627","410721","523264","388293","370553","406430","386156","302063","326199","218979","356797","267955.385","409938.39","330596","479472.69800000003"
"37","36","Atlantic bonito","Sarda sarda","13083","13313","11727","10895","19536","58907","64578","54727","33722","12530","34759","46010","7526","22835","14188","27101","22212","41306","26368","55712","20738","28182","16225","6282","7700","6035","6499","8698","9402","13476","19162","29291","31495","35983","15608","18425","16030","22822","24531","11938","21499","25173","14586","26005","15034","14674","16369","15871","29039","24213","17632","18096","10996","12042","11325","76224","35388","12376","11649","11543","14393","14455","39350","18399","23397","9023","44091.042","11883","35520","6060.207"
"37","37","Silversides(=Sand smelts) nei","Atherinidae","0","0","0","100","100","0","0","100","2200","2300","1900","2200","2400","3600","5500","3400","3100","3500","3500","3500","4394","5761","5309","4942","4229","4026","3788","3604","3652","4148","3521","3037","3373","3277","3384","6653","5788","7323","8367","8345","7081","8140","7899","11875","9701","6111","7249","6256","7067","5419","3275","5299","4906","5382","5752","7762","2440","2210","2362","3281","2394","2449","1659","1373","1003","922","1412","1136","1190","1065.3"
"37","54","Mediterranean mussel","Mytilus galloprovincialis","11000","11000","11400","11200","14100","16700","16690","16150","17050","18000","16600","16300","21800","24600","31600","28100","18100","19100","16700","17800","22190","26655","26836","21562","14010","14474","15489","13469","13594","20722","24919","25586","28096","25649","19812","18755","19831","32127","28503","28475","28929","32804","38716","39050","34032","40764","39046","53310","38899","44453","46083","46060","51452","51044","41264","12638","9702","2603","1109","8022","2012","2474","2811","1577","1080","1162","1044","1410","2060","2961.937"
