"ar_code","isscaap","english_name","scientific_name","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"37","21","Danube sturgeon(=Osetr)","Acipenser gueldenstaedtii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","135","129","134","114","36","20","8","10","3","3","2","1","1","3","2","0","0","0","0","0","0","0","0","0","0"
"37","21","Sterlet sturgeon","Acipenser ruthenus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","21","Starry sturgeon","Acipenser stellatus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","18","49","13","11","5","3","5","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","21","Beluga","Huso huso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","11","12","10","1","0","4","1","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","21","Sturgeons nei","Acipenseridae","2700","2300","4000","4100","2700","1900","1500","1500","1200","1400","1200","1600","1300","1300","1400","900","1000","900","800","700","765","804","988","1227","1165","1232","1506","1310","905","1235","1026","932","1149","1382","1493","1327","1427","1363","567","602","997","994","1024","1205","1245","678","432","443","290","185","59","22","23","14","8","6","2","1","1","0","0","0","0","1","0","1","0","0","0","0.78"
"37","24","Pontic shad","Alosa pontica","2300","3300","2100","2700","1000","1500","2100","1600","2600","2900","1700","2900","1900","1300","1600","3300","4200","2900","1100","1000","1502","1107","1004","1652","2803","3742","1116","709","333","583","494","473","1318","788","863","269","81","128","309","422","103","27","114","86","35","126","131","82","153","48","15","21","112","68","115","125","59","71","110","150","141","153","92","111","95","157","213","235","312","298.47499999999997"
"37","31","European flounder","Platichthys flesus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","137","142","103","100","77","118","71","56","44","32","83","14","16","7","12","2","0","0","364","564","507","121","80","78","74","28","35","50","69","62","62","36","36","16","48","322","223","195","184","262","229","122","139","150","64","75","49","54","62","53.866"
"37","31","Common sole","Solea solea","600","600","1100","500","900","800","1000","900","3100","3000","3400","4000","4500","4900","4800","7600","5500","4600","4900","4800","4482","4483","4943","5100","5110","5261","6154","6110","5695","6250","6963","6225","6638","7091","8562","9389","10252","9197","8631","9013","9429","9635","9685","8867","8454","9198","6949","5917","5047","4179","5169","4977","5548","6272","5340","5246","6403","6322","5768","6373","6287","5897","5370","5056","5270","5460","5807.951","5451.416","5227","4999.15"
"37","31","Turbot","Scophthalmus maximus","0","0","0","0","0","0","0","1800","3000","3000","1400","1600","1400","1900","2500","2300","3000","2200","2600","3100","4623","3016","2742","4349","1423","1131","1541","2079","2160","5483","2961","3906","4903","5569","3087","534","564","1279","1441","1741","1614","1523","924","2099","2516","3240","2341","1333","2178","2126","2968","2802","868","666","689","986","1168","1276","1010","890","713","588","619","588","513","630","657","526","627","731.7620000000001"
"37","32","Rocklings nei","Gaidropsarus spp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","19","19","39","19","20","0","0","12","15","10","1","5","4","3","5","6","8","9","10","10"
"37","32","Whiting","Merlangius merlangus","0","0","0","0","0","0","0","0","1000","600","600","900","900","0","800","800","1800","3000","4800","5000","4541","6338","5716","2831","4193","4739","5197","7793","23808","33836","10474","8131","6882","16110","18282","23203","23926","32907","33720","23827","21925","22777","21624","21279","17423","18675","22059","16038","14030","14643","18661","11045","9775","8609","8616","10443","11206","15261","14470","13330","15861","11948","9584","11318","10842","14424","12937.182","9799.619999999999","8584.21","10272.902"
"37","33","Flathead grey mullet","Mugil cephalus","2100","2100","1600","2500","2600","3000","2600","2200","2700","2700","2700","2800","2000","2000","2100","2100","2200","2900","3000","3100","1515","1750","3707","3744","1435","1679","1816","2735","2185","2053","2792","2774","3397","3517","3593","3840","4548","3782","3977","4958","5197","7284","6557","6534","5536","5177","5768","5546","4982","4622","6285","3079","4550","3121","5280","6181","6616","6079","4298","5624","3338","1831","1859","1709","1873","1956","3447","3880","3731","3414.3"
"37","33","So-iuy mullet","Mugil soiuy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","36","73","334","775","1039","2718","3661","5174","5406","2428","2510","2274","4731","6843","7432","6790","5027","6722","3657","4159","1286","739","817","266","965","1415","477","664.866"
"37","33","Golden grey mullet","Liza aurata","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","1","2","2","15","71","99","1410","1952","2305","2065","2315","2949","3129","2653","2854.79"
"37","33","Leaping mullet","Liza saliens","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","19","5","12","10","15","7","8","19","6","10","3","26","6","1","6","10","12","3","1","7","5","6","6","1","3","2","2","2","0","10","18","16","8","1","2","15","4","7","9","8","15","13","17","17","12","273","3","12"
